City,# of Undergrads,# of Grads ,Population,State,Place,Year
Bloomington,29657,5602,70985,Indiana,5860,2009
Bloomington,31980,6386,78490,Indiana,5860,2010
Bloomington,32091,6556,79662,Indiana,5860,2011
Bloomington,31269,6708,80440,Indiana,5860,2012
Bloomington,31671,6861,81115,Indiana,5860,2013
Bloomington,31410,6799,81963,Indiana,5860,2014
Bloomington,31194,7146,82813,Indiana,5860,2015
Bloomington,30633,6669,83093,Indiana,5860,2016
Bloomington,30049,6877,83636,Indiana,5860,2017
Bloomington,29751,6637,84058,Indiana,5860,2018
Bloomington,29455,6840,84116,Indiana,5860,2019
Bloomington,29106,6327,84691,Indiana,5860,2020
